x,Up_V,Un_V,OCV_V,Up_nd,Un_nd,OCV_nd
0.10379400,4.59104173,0.39410877,4.19693296,178.78129855,15.34712202,163.43417652
0.10429300,4.59058624,0.39246750,4.19811874,178.76356100,15.28320873,163.48035228
0.10479200,4.59013003,0.39082343,4.19930660,178.74579572,15.21918663,163.52660910
0.10529100,4.58967310,0.38917642,4.20049668,178.72800235,15.15504992,163.57295243
0.10579000,4.58921544,0.38752635,4.20168910,178.71018049,15.09079363,163.61938686
0.10628900,4.58875704,0.38587309,4.20288395,178.69232979,15.02641364,163.66591614
0.10678800,4.58829789,0.38421657,4.20408132,178.67444984,14.96190666,163.71254318
0.10728700,4.58783798,0.38255673,4.20528125,178.65654027,14.89727027,163.75927000
0.10778600,4.58737730,0.38089353,4.20648377,178.63860068,14.83250290,163.80609778
0.10828500,4.58691584,0.37922694,4.20768889,178.62063068,14.76760387,163.85302681
0.10878400,4.58645358,0.37755698,4.20889660,178.60262985,14.70257333,163.90005652
0.10928300,4.58599052,0.37588367,4.21010685,178.58459780,14.63741233,163.94718547
0.10978200,4.58552665,0.37420706,4.21131960,178.56653411,14.57212279,163.99441132
0.11028100,4.58506196,0.37252722,4.21253475,178.54843835,14.50670747,164.04173089
0.11078000,4.58459644,0.37084424,4.21375220,178.53031012,14.44117001,164.08914011
0.11127900,4.58413006,0.36915824,4.21497183,178.51214897,14.37551491,164.13663406
0.11177800,4.58366284,0.36746935,4.21619348,178.49395448,14.30974751,164.18420696
0.11227700,4.58319474,0.36577774,4.21741700,178.47572620,14.24387400,164.23185220
0.11277600,4.58272576,0.36408359,4.21864217,178.45746369,14.17790138,164.27956230
0.11327500,4.58225590,0.36238709,4.21986881,178.43916650,14.11183749,164.32732901
0.11377400,4.58178513,0.36068847,4.22109666,178.42083417,14.04569095,164.37514322
0.11427300,4.58131345,0.35898797,4.22232548,178.40246624,13.97947116,164.42299508
0.11477200,4.58084084,0.35728585,4.22355499,178.38406225,13.91318832,164.47087393
0.11527100,4.58036729,0.35558239,4.22478490,178.36562172,13.84685332,164.51876840
0.11577000,4.57989280,0.35387789,4.22601491,178.34714417,13.78047780,164.56666636
0.11626900,4.57941734,0.35217267,4.22724467,178.32862911,13.71407410,164.61455501
0.11676800,4.57894090,0.35046705,4.22847385,178.31007606,13.64765521,164.66242086
0.11726700,4.57846348,0.34876140,4.22970208,178.29148453,13.58123476,164.71024977
0.11776600,4.57798505,0.34705607,4.23092898,178.27285399,13.51482700,164.75802699
0.11826500,4.57750561,0.34535145,4.23215416,178.25418396,13.44844675,164.80573721
0.11876400,4.57702514,0.34364793,4.23337722,178.23547391,13.38210937,164.85336453
0.11926300,4.57654364,0.34194591,4.23459772,178.21672332,13.31583074,164.90089257
0.11976200,4.57606107,0.34024583,4.23581524,178.19793166,13.24962719,164.94830446
0.12026100,4.57557744,0.33854811,4.23702934,178.17909840,13.18351551,164.99558289
0.12076000,4.57509273,0.33685318,4.23823955,178.16022300,13.11751286,165.04271014
0.12125900,4.57460692,0.33516150,4.23944541,178.14130491,13.05163676,165.08966815
0.12175800,4.57412000,0.33347354,4.24064646,178.12234358,12.98590505,165.13643853
0.12225700,4.57363195,0.33178974,4.24184221,178.10333845,12.92033585,165.18300260
0.12275600,4.57314277,0.33011059,4.24303217,178.08428895,12.85494749,165.22934146
0.12325500,4.57265243,0.32843656,4.24421587,178.06519451,12.78975849,165.27543601
0.12375400,4.57216092,0.32676813,4.24539279,178.04605454,12.72478753,165.32126701
0.12425300,4.57166823,0.32510578,4.24656245,178.02686846,12.66005338,165.36681509
0.12475200,4.57117434,0.32344999,4.24772434,178.00763568,12.59557485,165.41206083
0.12525100,4.57067923,0.32180126,4.24887798,177.98835559,12.53137079,165.45698480
0.12575000,4.57018289,0.32016005,4.25002285,177.96902758,12.46746001,165.50156757
0.12624900,4.56968531,0.31852685,4.25115846,177.94965105,12.40386126,165.54578979
0.12674800,4.56918647,0.31690215,4.25228432,177.93022536,12.34059315,165.58963221
0.12724700,4.56868634,0.31528641,4.25339993,177.91074988,12.27767416,165.63307572
0.12774600,4.56818493,0.31368011,4.25450481,177.89122398,12.21512256,165.67610142
0.12824500,4.56768220,0.31208371,4.25559849,177.87164701,12.15295641,165.71869060
0.12874400,4.56717814,0.31049765,4.25668048,177.85201832,12.09119347,165.76082485
0.12924300,4.56667273,0.30892241,4.25775033,177.83233726,12.02985122,165.80248604
0.12974200,4.56616597,0.30735840,4.25880757,177.81260314,11.96894676,165.84365638
0.13024100,4.56565782,0.30580607,4.25985176,177.79281529,11.90849685,165.88431844
0.13074000,4.56514828,0.30426583,4.26088245,177.77297304,11.84851782,165.92445522
0.13123900,4.56463732,0.30273809,4.26189924,177.75307569,11.78902557,165.96405012
0.13173800,4.56412493,0.30122324,4.26290169,177.73312254,11.73003553,166.00308701
0.13223700,4.56361109,0.29972168,4.26388941,177.71311288,11.67156262,166.04155025
0.13273600,4.56309578,0.29823377,4.26486202,177.69304599,11.61362127,166.07942472
0.13323500,4.56257898,0.29675986,4.26581913,177.67292116,11.55622534,166.11669583
0.13373400,4.56206068,0.29530030,4.26676038,177.65273766,11.49938813,166.15334952
0.13423300,4.56154085,0.29385541,4.26768543,177.63249473,11.44312238,166.18937235
0.13473200,4.56101947,0.29242551,4.26859396,177.61219163,11.38744020,166.22475143
0.13523100,4.56049653,0.29101090,4.26948563,177.59182761,11.33235310,166.25947451
0.13573000,4.55997201,0.28961184,4.27036017,177.57140190,11.27787196,166.29352994
0.13622900,4.55944588,0.28822861,4.27121727,177.55091372,11.22400702,166.32690670
