x,Up_V,Un_V,OCV_V
0.17066000,4.51788083,0.23157067,4.28631016
0.17115900,4.51717811,0.23118881,4.28598930
0.17165800,4.51647173,0.23081457,4.28565716
0.17215700,4.51576164,0.23044774,4.28531390
0.17265600,4.51504780,0.23008814,4.28495966
0.17315500,4.51433017,0.22973556,4.28459461
0.17365400,4.51360871,0.22938983,4.28421889
0.17415300,4.51288339,0.22905075,4.28383264
0.17465200,4.51215416,0.22871815,4.28343601
0.17515100,4.51142097,0.22839184,4.28302914
0.17565000,4.51068380,0.22807165,4.28261215
0.17614900,4.50994260,0.22775741,4.28218520
0.17664800,4.50919733,0.22744894,4.28174839
0.17714700,4.50844794,0.22714608,4.28130187
0.17764600,4.50769441,0.22684866,4.28084575
0.17814500,4.50693667,0.22655652,4.28038015
0.17864400,4.50617470,0.22626951,4.27990519
0.17914300,4.50540844,0.22598746,4.27942098
0.17964200,4.50463787,0.22571022,4.27892764
0.18014100,4.50386293,0.22543765,4.27842528
0.18064000,4.50308358,0.22516960,4.27791398
0.18113900,4.50229978,0.22490591,4.27739387
0.18163800,4.50151149,0.22464646,4.27686503
0.18213700,4.50071866,0.22439109,4.27632757
0.18263600,4.49992125,0.22413968,4.27578157
0.18313500,4.49911922,0.22389209,4.27522713
0.18363400,4.49831252,0.22364819,4.27466433
0.18413300,4.49750111,0.22340784,4.27409326
0.18463200,4.49668494,0.22317094,4.27351400
0.18513100,4.49586397,0.22293734,4.27292663
0.18563000,4.49503816,0.22270693,4.27233123
0.18612900,4.49420746,0.22247960,4.27172786
0.18662800,4.49337183,0.22225522,4.27111661
0.18712700,4.49253122,0.22203369,4.27049754
0.18762600,4.49168559,0.22181488,4.26987071
0.18812500,4.49083490,0.22159870,4.26923620
0.18862400,4.48997909,0.22138503,4.26859406
0.18912300,4.48911813,0.22117377,4.26794436
0.18962200,4.48825197,0.22096482,4.26728715
0.19012100,4.48738056,0.22075808,4.26662249
0.19062000,4.48650387,0.22055344,4.26595042
0.19111900,4.48562184,0.22035082,4.26527102
0.19161800,4.48473443,0.22015012,4.26458431
0.19211700,4.48384160,0.21995125,4.26389035
0.19261600,4.48294330,0.21975411,4.26318919
0.19311500,4.48203949,0.21955863,4.26248087
0.19361400,4.48113013,0.21936470,4.26176542
0.19411300,4.48021516,0.21917225,4.26104290
0.19461200,4.47929455,0.21898120,4.26031334
0.19511100,4.47836824,0.21879146,4.25957678
0.19561000,4.47743621,0.21860296,4.25883325
0.19610900,4.47649840,0.21841561,4.25808278
0.19660800,4.47555477,0.21822935,4.25732542
0.19710700,4.47460527,0.21804409,4.25656118
0.19760600,4.47364987,0.21785976,4.25579011
0.19810500,4.47268852,0.21767630,4.25501222
0.19860400,4.47172118,0.21749363,4.25422755
0.19910300,4.47074780,0.21731168,4.25343612
0.19960200,4.46976835,0.21713039,4.25263796
0.20010100,4.46878278,0.21694969,4.25183309
0.20060000,4.46779105,0.21676952,4.25102153
0.20109900,4.46679313,0.21658982,4.25020331
0.20159800,4.46578896,0.21641052,4.24937844
0.20209700,4.46477851,0.21623156,4.24854695
0.20259600,4.46376174,0.21605288,4.24770886
0.20309500,4.46273861,0.21587443,4.24686418
0.20359400,4.46170908,0.21569616,4.24601293
0.20409300,4.46067312,0.21551799,4.24515513
0.20459200,4.45963068,0.21533989,4.24429079
0.20509100,4.45858174,0.21516180,4.24341994
0.20559000,4.45752624,0.21498366,4.24254258
0.20608900,4.45646417,0.21480543,4.24165873
0.20658800,4.45539547,0.21462706,4.24076841
0.20708700,4.45432013,0.21444849,4.23987163
0.20758600,4.45323809,0.21426969,4.23896841
0.20808500,4.45214934,0.21409059,4.23805875
0.20858400,4.45105384,0.21391117,4.23714267
0.20908300,4.44995156,0.21373137,4.23622019
0.20958200,4.44884246,0.21355115,4.23529131
0.21008100,4.44772652,0.21337046,4.23435605
0.21058000,4.44660371,0.21318928,4.23341443
0.21107900,4.44547400,0.21300754,4.23246645
0.21157800,4.44433736,0.21282523,4.23151214
0.21207700,4.44319378,0.21264228,4.23055149
0.21257600,4.44204322,0.21245868,4.22958454
0.21307500,4.44088565,0.21227437,4.22861128
0.21357400,4.43972107,0.21208933,4.22763174
0.21407300,4.43854945,0.21190352,4.22664593
0.21457200,4.43737076,0.21171690,4.22565386
0.21507100,4.43618499,0.21152944,4.22465555
0.21557000,4.43499213,0.21134111,4.22365102
0.21606900,4.43379215,0.21115187,4.22264028
0.21656800,4.43258504,0.21096169,4.22162334
0.21706700,4.43137078,0.21077055,4.22060024
0.21756600,4.43014938,0.21057840,4.21957098
