coh_id,n1_bot,n2_bot,n4_top,n3_top,length,layer_idx
402,1501,1341,3104,2944,1.2911616e-7,1
403,1341,1181,2944,2784,1.2911616000000013e-7,1
404,1181,1021,2784,2624,1.2911616e-7,1
405,1021,1582,2624,3185,4.651840069281365e-7,1
406,1582,1422,3185,3025,1.2911616000000008e-7,1
407,1422,1262,3025,2865,1.2911616000000019e-7,1
408,1262,1102,2865,2705,1.2911615999999995e-7,1
409,1102,942,2705,2545,1.2911615999999997e-7,1
410,942,1662,2545,3265,5.810227200000001e-7,1
411,1662,462,3265,2065,9.683712e-7,1
412,462,382,2065,1985,6.455807999999996e-8,1
413,382,1502,1985,3105,9.0381312e-7,1
414,1502,302,3105,1905,9.683711999999998e-7,1
415,302,1342,1905,2945,8.392550399999999e-7,1
416,1342,1182,2945,2785,1.2911616000000019e-7,1
417,1182,1022,2785,2625,1.291161599999999e-7,1
418,1022,862,2625,2465,1.2911616000000013e-7,1
419,862,222,2465,1825,5.1646464e-7,1
420,222,782,1825,2385,4.5190656e-7,1
421,782,142,2385,1745,5.1646464e-7,1
422,142,702,1745,2305,4.5190656e-7,1
423,702,622,2305,2225,6.455808000000001e-8,1
424,622,542,2225,2145,6.455808000000001e-8,1
425,542,1663,2145,3266,9.089898792614483e-7,1
426,1663,1503,3266,3106,1.2911615999999995e-7,1
427,1503,1343,3106,2946,1.2911616000000013e-7,1
428,1343,1183,2946,2786,1.2911616000000008e-7,1
429,1183,1023,2786,2626,1.2911616000000003e-7,1
430,1023,863,2626,2466,1.291161599999999e-7,1
431,863,783,2466,2386,6.455808000000003e-8,1
432,783,703,2386,2306,6.455808e-8,1
433,703,623,2306,2226,6.455808e-8,1
434,623,543,2226,2146,6.455808e-8,1
435,543,463,2146,2066,6.455808000000001e-8,1
436,463,383,2066,1986,6.455807999999997e-8,1
437,383,303,1986,1906,6.455807999999999e-8,1
438,303,223,1906,1826,6.455808000000003e-8,1
439,223,143,1826,1746,6.455808e-8,1
440,143,1583,1746,3186,1.1620454400000001e-6,1
441,1583,1423,3186,3026,1.2911615999999997e-7,1
442,1423,1263,3026,2866,1.2911616000000013e-7,1
443,1263,1103,2866,2706,1.2911616e-7,1
444,1103,943,2706,2546,1.2911616000000003e-7,1
445,943,1664,2546,3267,5.914338751665734e-7,1
446,1664,1504,3267,3107,1.2911616e-7,1
447,1504,1344,3107,2947,1.2911616e-7,1
448,1344,1184,2947,2787,1.291161600000001e-7,1
449,1184,1024,2787,2627,1.2911616e-7,1
450,1024,464,2627,2067,4.5190656e-7,1
451,464,1584,2067,3187,9.038131200000001e-7,1
452,1584,384,3187,1987,9.683712e-7,1
453,384,304,1987,1907,6.455808e-8,1
454,304,1424,1907,3027,9.0381312e-7,1
455,1424,224,3027,1827,9.683712e-7,1
456,224,144,1827,1747,6.455807999999997e-8,1
457,144,1264,1747,2867,9.038131200000001e-7,1
458,1264,1104,2867,2707,1.291161600000002e-7,1
459,1104,944,2707,2547,1.2911616e-7,1
460,944,864,2547,2467,6.455807999999996e-8,1
461,864,784,2467,2387,6.455807999999996e-8,1
462,784,704,2387,2307,6.455807999999996e-8,1
463,704,624,2307,2227,6.455808000000005e-8,1
464,624,544,2227,2147,6.455808000000007e-8,1
465,544,1665,2147,3268,9.090032503458616e-7,1
466,1665,1345,3268,2948,2.5823232000000016e-7,1
467,1345,1025,2948,2628,2.582323200000002e-7,1
468,1025,1585,2628,3188,4.519065600000001e-7,1
469,1585,1425,3188,3028,1.2911615999999992e-7,1
470,1425,1265,3028,2868,1.291161600000001e-7,1
471,1265,1105,2868,2708,1.2911616000000008e-7,1
472,1105,945,2708,2548,1.2911615999999997e-7,1
473,945,865,2548,2468,6.455808e-8,1
474,865,785,2468,2388,6.455808000000001e-8,1
475,785,705,2388,2308,6.455808000000001e-8,1
476,705,625,2308,2228,6.455807999999996e-8,1
477,625,465,2228,2068,1.2911616000000003e-7,1
478,465,545,2068,2148,6.455807999999997e-8,1
479,545,385,2148,1988,1.2911615999999992e-7,1
480,385,305,1988,1908,6.455808000000005e-8,1
481,305,225,1908,1828,6.455807999999997e-8,1
482,225,145,1828,1748,6.455807999999997e-8,1
483,145,1505,1748,3108,1.09748736e-6,1
484,1505,1185,3108,2788,2.5823232000000016e-7,1
485,1185,1586,2788,3189,3.4278157966027697e-7,1
486,1586,1426,3189,3029,1.291161600000001e-7,1
