===== JuBat Debug Log 1764687579 =====
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6776510524906245 W (nd=5.2780211741831735)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.677961597889224 W (nd=5.280439919322474)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6782516483637856 W (nd=5.282699035634167)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6785190539000242 W (nd=5.284781777300655)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6787580838148493 W (nd=5.286643509746982)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6789667245900429 W (nd=5.288268550282554)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6791393660752134 W (nd=5.289613203125523)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6792740715968177 W (nd=5.290662384105459)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6793653073936344 W (nd=5.291372992412894)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6794111702981346 W (nd=5.291730204845711)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6794061455345302 W (nd=5.2916910684662986)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6793482829233504 W (nd=5.291240393910599)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6792319928978645 W (nd=5.290334645716739)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6790551886688024 W (nd=5.288957570507832)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6788121418929742 W (nd=5.28706455193371)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6785006013683953 W (nd=5.284638056056075)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6781147157187146 W (nd=5.2816325082563)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6776521342925045 W (nd=5.278029600014149)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6771070180894634 W (nd=5.273783853104339)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6764771550950475 W (nd=5.268878038807817)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6757571053449066 W (nd=5.263269786870865)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6749453719698242 W (nd=5.256947438627281)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6740377162889762 W (nd=5.249877980261099)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6730343995921931 W (nd=5.242063446880577)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6719336633451732 W (nd=5.233490141788511)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6707389942546728 W (nd=5.224185221899981)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6694526709142599 W (nd=5.214166434498128)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6680828783914209 W (nd=5.203497530623177)
