coh_id,n1_bot,n2_bot,n4_top,n3_top,length,interface_type
163,3949,3950,34237,34238,1.4075441646446845e-8,PE_PCC
164,3950,3951,34238,34239,1.4087956407090504e-8,PE_PCC
165,3951,3952,34239,34240,1.4100471174942494e-8,PE_PCC
166,3952,3953,34240,34241,1.4112985949983516e-8,PE_PCC
167,3953,3954,34241,34242,1.4125500732193373e-8,PE_PCC
168,3954,3955,34242,34243,1.413801552155453e-8,PE_PCC
169,3955,3956,34243,34244,1.4150530318046531e-8,PE_PCC
170,3956,3957,34244,34245,1.4163045121651924e-8,PE_PCC
171,3957,3958,34245,34246,1.4175559932350504e-8,PE_PCC
172,3958,3959,34246,34247,1.418807475012473e-8,PE_PCC
173,3959,3960,34247,34248,1.4200589574954716e-8,PE_PCC
174,3960,3961,34248,34249,1.4213104406822738e-8,PE_PCC
175,3961,3962,34249,34250,1.4225619245710234e-8,PE_PCC
176,3962,3963,34250,34251,1.423813409159771e-8,PE_PCC
177,3963,3964,34251,34252,1.425064894446806e-8,PE_PCC
178,3964,3965,34252,34253,1.4263163804301502e-8,PE_PCC
179,3965,3966,34253,34254,1.4275678671081184e-8,PE_PCC
180,3966,3967,34254,34255,1.4288193544787372e-8,PE_PCC
181,3967,3968,34255,34256,1.4300708425403357e-8,PE_PCC
182,3968,3969,34256,34257,1.4313223312909557e-8,PE_PCC
183,3969,3970,34257,34258,1.4325738207288988e-8,PE_PCC
184,3970,3971,34258,34259,1.4338253108523673e-8,PE_PCC
185,3971,3972,34259,34260,1.4350768016594583e-8,PE_PCC
186,3972,3973,34260,34261,1.4363282931485302e-8,PE_PCC
187,3973,3974,34261,34262,1.4375797853176534e-8,PE_PCC
188,3974,3975,34262,34263,1.4388312781652055e-8,PE_PCC
189,3975,3976,34263,34264,1.4400827716892643e-8,PE_PCC
190,3976,3977,34264,34265,1.4413342658882183e-8,PE_PCC
191,3977,3978,34265,34266,1.4425857607601708e-8,PE_PCC
192,3978,3979,34266,34267,1.4438372563034995e-8,PE_PCC
193,3979,3980,34267,34268,1.4450887525163349e-8,PE_PCC
194,3980,3981,34268,34269,1.4463402493970328e-8,PE_PCC
195,3981,3982,34269,34270,1.4475917469438752e-8,PE_PCC
196,3982,3983,34270,34271,1.448843245155008e-8,PE_PCC
197,3983,3984,34271,34272,1.4500947440288775e-8,PE_PCC
198,3984,3985,34272,34273,1.4513462435636124e-8,PE_PCC
199,3985,3986,34273,34274,1.4525977437576458e-8,PE_PCC
200,3986,3987,34274,34275,1.4538492446091393e-8,PE_PCC
201,3987,3988,34275,34276,1.4551007461165419e-8,PE_PCC
202,3988,3989,34276,34277,1.4563522482780046e-8,PE_PCC
203,3989,3990,34277,34278,1.4576037510919727e-8,PE_PCC
204,3990,3991,34278,34279,1.4588552545567382e-8,PE_PCC
205,3991,3992,34279,34280,1.4601067586705528e-8,PE_PCC
206,3992,3993,34280,34281,1.4613582634318632e-8,PE_PCC
207,3993,3994,34281,34282,1.4626097688388776e-8,PE_PCC
208,3994,3995,34282,34283,1.4638612748900984e-8,PE_PCC
209,3995,3996,34283,34284,1.4651127815836913e-8,PE_PCC
210,3996,3997,34284,34285,1.4663642889181937e-8,PE_PCC
211,3997,3998,34285,34286,1.4676157968918016e-8,PE_PCC
212,3998,3999,34286,34287,1.4688673055029995e-8,PE_PCC
213,3999,4000,34287,34288,1.4701188147501511e-8,PE_PCC
214,4000,4001,34288,34289,1.4713703246315287e-8,PE_PCC
215,4001,4002,34289,34290,1.4726218351456643e-8,PE_PCC
216,4002,4003,34290,34291,1.4738733462907918e-8,PE_PCC
217,4003,4004,34291,34292,1.475124858065459e-8,PE_PCC
218,4004,4005,34292,34293,1.476376370467915e-8,PE_PCC
219,4005,4006,34293,34294,1.4776278834967142e-8,PE_PCC
220,4006,4007,34294,34295,1.4788793971501098e-8,PE_PCC
221,4007,4008,34295,34296,1.4801309114266433e-8,PE_PCC
222,4008,4009,34296,34297,1.4813824263247225e-8,PE_PCC
223,4009,4010,34297,34298,1.4826339418426691e-8,PE_PCC
224,4010,4011,34298,34299,1.4838854579790622e-8,PE_PCC
225,4011,4012,34299,34300,1.4851369747321862e-8,PE_PCC
226,4012,4013,34300,34301,1.4863884921006365e-8,PE_PCC
227,4013,4014,34301,34302,1.4876400100827083e-8,PE_PCC
228,4014,4015,34302,34303,1.4888915286770046e-8,PE_PCC
229,4015,4016,34303,34304,1.4901430478818335e-8,PE_PCC
230,4016,4017,34304,34305,1.49139456769577e-8,PE_PCC
231,4017,4018,34305,34306,1.4926460881172423e-8,PE_PCC
232,4018,4019,34306,34307,1.4938976091448034e-8,PE_PCC
233,4019,4020,34307,34308,1.4951491307767023e-8,PE_PCC
234,4020,4021,34308,34309,1.496400653011648e-8,PE_PCC
235,4021,4022,34309,34310,1.4976521758480545e-8,PE_PCC
236,4022,4023,34310,34311,1.498903699284491e-8,PE_PCC
237,4023,4024,34311,34312,1.500155223319233e-8,PE_PCC
238,4024,4025,34312,34313,1.5014067479510026e-8,PE_PCC
239,4025,4026,34313,34314,1.5026582731782374e-8,PE_PCC
240,4026,4027,34314,34315,1.5039097989994478e-8,PE_PCC
241,4027,4028,34315,34316,1.505161325413235e-8,PE_PCC
242,4028,4029,34316,34317,1.506412852417894e-8,PE_PCC
243,4029,4030,34317,34318,1.507664380012167e-8,PE_PCC
244,4030,4031,34318,34319,1.5089159081945195e-8,PE_PCC
245,4031,4032,34319,34320,1.510167436963576e-8,PE_PCC
246,4032,4033,34320,34321,1.511418966317634e-8,PE_PCC
247,4033,4034,34321,34322,1.5126704962554866e-8,PE_PCC
248,4034,4035,34322,34323,1.5139220267755904e-8,PE_PCC
