capacity [A.h],voltage [V],temperature [K],temperature max [K]
1.5397916666666625,3.8596313529584783,300.9026304871165,301.3836599175247
1.5439583333333289,3.858766031995356,300.90579242699016,301.38767894494936
1.5481249999999955,3.857893436500024,300.908942708255,301.3916842997437
1.5522916666666622,3.857013600324595,300.91208138410406,301.3956760404302
1.5564583333333288,3.856126519712778,300.9152085075046,301.399654225332
1.5606249999999955,3.8552322612013126,300.91832413119823,301.4036189125318
1.5647916666666621,3.854330855379837,300.9214283077035,301.40757015986185
1.5689583333333288,3.853422403677393,300.92452108931707,301.41150802494104
1.5731249999999954,3.8525069729823755,300.92760252811394,301.4154325651741
1.577291666666662,3.851584701294848,300.9306726759497,301.4193438377292
1.5814583333333287,3.8506556931664977,300.93373158446195,301.42324189954616
1.5856249999999954,3.849720124201056,300.93677930507073,301.4271268073767
1.589791666666662,3.8487781372770646,300.93981588897964,301.43099861772373
1.5939583333333287,3.8478299458823093,300.94284138717836,301.43485738684996
1.5981249999999951,3.8468757310868367,300.94585585044274,301.43870317085276
1.6022916666666618,3.8459157437026383,300.9488593293368,301.4425360255885
1.6064583333333284,3.8449502019809665,300.95185187421345,301.4463560066805
1.6106249999999953,3.8439793925957146,300.95483353521564,301.45016316955065
1.614791666666662,3.843003569047173,300.95780436227744,301.4539575694037
1.6189583333333286,3.842023051476274,300.9607644051259,301.45773926123934
1.6231249999999953,3.8410381257665294,300.9637137132816,301.46150829986743
1.627291666666662,3.8400491422059857,300.9666523360603,301.4652647398459
1.6314583333333286,3.839056415289409,300.96958032257373,301.46900863553657
1.6356249999999952,3.8380603212551696,300.9724977217311,301.4727400411037
1.6397916666666619,3.837061198600209,300.9754045822398,301.4764590104938
1.6439583333333285,3.836059444529173,300.97830095260684,301.48016559747
1.6481249999999952,3.8350554162047694,300.98118688113965,301.48385985557917
1.6522916666666616,3.8340495261556424,300.984062415948,301.4875418381541
1.6564583333333283,3.833042144293421,300.9869276049446,301.49121159832674
1.660624999999995,3.832033692333476,300.98978249584616,301.49486918904785
1.6647916666666616,3.831024546616764,300.99262713617384,301.4985146630512
1.6689583333333282,3.83001513160303,300.99546157325585,301.50214807286653
1.6731249999999949,3.8290058235398337,300.9982858542277,301.50576947084176
1.6772916666666615,3.8279970430904506,301.00110002603327,301.5093789091192
1.6814583333333282,3.8269891598939876,301.00390413542567,301.51297643965063
1.685624999999995,3.8259825843900592,301.006698228969,301.51656211419504
1.6897916666666617,3.824977673312439,301.0094823530393,301.5201359843222
1.6939583333333283,3.823974820769491,301.0122565538249,301.52369810138504
1.698124999999995,3.82297436470954,301.01502087732746,301.5272485165548
1.7022916666666617,3.8219766773102553,301.017775369364,301.5307872808329
1.7064583333333283,3.820982072447256,301.020520075568,301.53431444500507
1.710624999999995,3.819990895437695,301.0232550413885,301.5378300596794
1.7147916666666616,3.8190034315349832,301.02598031209305,301.5413341752947
1.7189583333333283,3.818019995062368,301.0286959327685,301.54482684207
1.723124999999995,3.8170408389467374,301.03140194832156,301.5483081100652
1.7272916666666616,3.8160662432676227,301.03409840347973,301.55177802913465
1.731458333333328,3.8150964258328623,301.0367853427921,301.5552366489621
1.7356249999999946,3.8141316301578474,301.03946281063133,301.55868401905684
1.7397916666666613,3.8131720370756983,301.0421308511937,301.56212018872424
1.743958333333328,3.8122178521517642,301.04478950850046,301.56554520710546
1.7481249999999946,3.8112692183116166,301.0474388263987,301.5689591231766
1.7522916666666613,3.8103263026869723,301.05007884856275,301.5723619857146
1.7564583333333281,3.80938921023703,301.05270961849436,301.57575384331085
1.7606249999999948,3.808458070014621,301.055331179524,301.57913474438055
1.7647916666666614,3.8075329497501498,301.0579435748124,301.58250473718374
1.768958333333328,3.8066139415213955,301.06054684735017,301.58586386979766
1.7731249999999947,3.8057010772648625,301.06314103996,301.58921219013354
1.7772916666666614,3.8047944138289798,301.0657261952971,301.5925497458973
1.781458333333328,3.8038939493752677,301.06830235585056,301.5958765846396
1.7856249999999947,3.8029997077928077,301.07086956394323,301.5991927537779
1.7897916666666613,3.802111655950783,301.07342786173393,301.60249830051316
1.793958333333328,3.801229787451973,301.0759772912173,301.6057932718806
1.7981249999999946,3.8003540406988976,301.0785178942253,301.60907771476946
1.8022916666666613,3.7994843819652386,301.08104971242767,301.6123516758918
1.806458333333328,3.798620724239876,301.0835727873332,301.6156152017829
